Dia,Tienda,Clave Producto,Producto,Piezas,Ventas Monto,Existencias,Inventario Monto
2016/09/06,112 GALERIAS COAPÁ,11956027989,SFP PELUCHE DE LUJO CON SONIDO,0,0,8,7432
2016/09/06,110 PLAZA CIBELES IRAPUATO,11956028761,TMT MOV2 FIGURA 6,0,0,8,3352
2016/09/06,110 PLAZA CIBELES IRAPUATO,11956023924,HADA FLYING FAIRY CON LUZ,0,0,0,-424
2016/09/06,109 PABELLON POLANCO,11956026125,TMT MUTATIONS MEZCLA Y COMBINA,0,0,5,1195
2016/09/06,108 PLAZA LINDAVISTA,11956026428,VEHICULO DE LUXE CON FIGURA,0,0,1,599
2016/09/06,108 PLAZA LINDAVISTA,11956019457,FIGURAS BASICAS 5,0,0,2,270
2016/09/06,107 CENTRAL DE ABASTOS,11956028021,PPG PYS MINI ACTION PLAYSET AST MML4PK,0,0,4,1524
2016/09/06,107 CENTRAL DE ABASTOS,11956018010,BGM HEDBANZ NINOS,0,0,17,4981
2016/09/06,106 REAL CENTER GUADALAJARA,11956024479,PAW MINI FIGURAS,0,0,1,109
2016/09/06,105 GALERÍAS METEPEC,11956026221,KNS ACK KINETIC SAND DOG DINO AST MX MML4PK,0,0,0,0
2016/09/06,104 MUNDO E,11956027368,PAW 6 PACK CACHORROS TRANSFORMABLES  EXCLUSIVA JUGUETRON,0,0,1,949
2016/09/06,103 INSURGENTES,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,9,3681
2016/09/06,103 INSURGENTES,11956023782,MINI VEHICULO CARGADOR EVOLUTION,0,0,0,-244
2016/09/06,102 SAN COSME,11956025003,KNS SET DE JUEGO KINETIC SAND 500 G,0,0,11,5489
2016/09/06,177 BERNARDO QUINTANA,11956024270,PAW FIGURA PILOTOS DE RES CATE,0,0,17,2703
2016/09/06,101 GALERÍAS QUERETARO,11956026569,BGM VASOS LOCOS,0,0,15,6285
2016/09/06,176 VIA VALLEJO,11956024525,STF MAQUINA DE COSER,0,0,2,1958
2016/09/06,164 LEON SUR,11956026593,PAW CACHORROS HEROES,1,209,0,0
2016/09/06,175 GALERIAS TOLUCA,11956024607,DGB DIGIBIRD INDIVIDUAL,0,0,14,3626
2016/09/06,101 GALERÍAS QUERETARO,11956020699,BGM HIJOS CONTRA PADRES,1,279,0,0
2016/09/06,174 GOURMETERIA,11956026202,PAW INX COCHE RUBBLE,0,0,0,0
2016/09/06,173 GALERIAS SERDAN,11956026593,PAW CACHORROS HEROES,0,0,3,627
2016/09/06,150 SAN LUIS,11956022841,MIN DIAMOND STEVE DE VINIL,0,0,0,0
2016/09/06,172 GALERIAS MAZATLAN,11956027454,PAW TABLETA DE RYDER,0,0,5,1845
2016/09/06,149 LEÒN PLAZA MAYOR,11956024574,TMNT FIGURA DE 5 SOLO TORTUGAS,0,0,0,0
2016/09/06,171 TECAMACHALCO,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,3,1227
2016/09/06,148 GRAN PLAZA MERIDA,11956026462,TMT MEGA FIGURA 11 CLASICA CON VILLANO,0,0,1,659
2016/09/06,171 TECAMACHALCO,11956019660,TMNT MEGAFIGURAS DE BATALLA 11,0,0,6,4194
2016/09/06,147 MONTEJO,11956027926,DNG SET CREATIVO,0,0,12,2388
2016/09/06,170 METROPOLI PATRIOTISMO,11956022888,HADA FLYING FAIRY TINKERBELL,0,0,2,1349
2016/09/06,146 ALTABRISA TABASCO,11956027969,KNS KINETIC SAND SET PAW PATROL,0,0,10,4990
2016/09/06,169 GALERIAS CAMPECHE,11956024270,PAW FIGURA PILOTOS DE RES CATE,0,0,8,1272
2016/09/06,145 XALAPA LAS ANIMAS,11956028761,TMT MOV2 FIGURA 6,0,0,7,2933
2016/09/06,168 OAXACA,11956026203,PAW INX COCHE CHASE,0,0,0,0
2016/09/06,145 XALAPA LAS ANIMAS,11956019660,TMNT MEGAFIGURAS DE BATALLA 11,0,0,1,699
2016/09/06,167 TECNOLOGICO METEPEC,11956026754,FLYING FAIRY PRINCESA,0,0,12,9189
2016/09/06,144 XALAPA LAS AMERICAS,11956024350,DWD CHIMUELO GIGANTE 23,0,0,11,9119
2016/09/06,166 PLAZA CRYSTAL,11956028762,TMT MOV2 FIGURA BASICA 5,0,0,6,1434
2016/09/06,143 CORDOBA,11956025003,KNS SET DE JUEGO KINETIC SAND 500 G,0,0,6,2994
2016/09/06,166 PLAZA CRYSTAL,11956020699,BGM HIJOS CONTRA PADRES,0,0,3,837
2016/09/06,142 URUAPAN AGORA,11956026427,VEHICULO BASICO CON FIGURA,0,0,2,878
2016/09/06,165 SAN JUAN DEL RIO,11956024266,PAW VEHICULO BASICO,0,0,9,3591
2016/09/06,141 LAS AMERICAS BOCA DEL RIO,11956027389,PAW SET CACHORROS METALICOS,0,0,10,12390
2016/09/06,164 LEON SUR,11956026113,TMT MUTATIONS MASCOTA A TORTUGA NINJA,0,0,3,1227
2016/09/06,140 PALMAS,11956027989,SFP PELUCHE DE LUJO CON SONIDO,0,0,5,4645
2016/09/06,163 ANTEA QUERETARO,11956026555,BGM AVENTURAS PAW PATROL,0,0,4,1036
2016/09/06,139 GALERIAS ATIZAPAN,11956028761,TMT MOV2 FIGURA 6,0,0,4,1676
2016/09/06,162 PLAZA TLALNEPANTLA,11956027033,PAW CACHORROS AEREOS,0,0,2,598
2016/09/06,139 GALERIAS ATIZAPAN,11956022690,BGM HIJOS CONTRA PADRES DISNEY,0,0,0,0
2016/09/06,161 GALERIAS CELAYA,11956027368,PAW 6 PACK CACHORROS TRANSFORMABLES  EXCLUSIVA JUGUETRON,0,0,0,0
2016/09/06,138 PLAZA VALLE ORIZABA,11956024524,STF REPUESTOS DE TELA,0,0,2,258
2016/09/06,160 GALERIAS ZACATECAS,11956028021,PPG PYS MINI ACTION PLAYSET AST MML4PK,0,0,4,1636
2016/09/06,137 ANDARES GUADALAJARA,11956026569,BGM VASOS LOCOS,0,0,15,6285
2016/09/06,159 PATRIA,11956028759,TMT MOV2 ARMAS,0,0,7,2933
2016/09/06,136 PLAZA NEZA CD. JARDIN,11956027927,DNG SET DE VIAJE,0,0,12,4788
2016/09/06,159 PATRIA,11956023350,TMT CAPARAZON DE TORTUGAS,0,0,10,5290
2016/09/06,135 SAN JERONIMO,11956031649,TMT MOV2 CAMION C FIGURA,0,0,2,2898
2016/09/06,158 RIO MAYO,11956026199,PAW INX CAJITA MARSHALL,0,0,0,0
2016/09/06,135 SAN JERONIMO,11956019182,HEDBANZ DISNEY,0,0,0,0
2016/09/06,157 TOWN CENTER ROSARIO,11956026593,PAW CACHORROS HEROES,0,0,5,1045
2016/09/06,123 GALERIAS GUADALAJARA,11956026761,SC COLCHA ACOGEDORA,0,0,3,1587
2016/09/06,134 POWER CENTER COACALCO,11956023350,TMT CAPARAZON DE TORTUGAS,0,0,2,976
2016/09/06,156 TABASCO 2000,11956027389,PAW SET CACHORROS METALICOS,0,0,8,9912
2016/09/06,121 OUTLET PUEBLA,11956028029,PPG 6 DELUXE DOLL AST MML 3PK,0,0,6,2520
2016/09/06,133 ALTARIA AGUASCALIENTES,11956026410,KNS KINETIC SAND GEMAS PRECIOSAS,0,0,4,1396
2016/09/06,155 PEDREGAL,11956028699,PAW INX CAMION,0,0,2,1598
2016/09/06,121 OUTLET PUEBLA,11956020724,PLP CABALLO,0,0,0,-183.2
2016/09/06,132 LA CUSPIDE,11956027114,PAW INX CAJITA RUBBLE,0,0,0,0
2016/09/06,504 PRICE TOYS IZTAPALAPA,11956031728,DOG ZOOMER ZUPPIES,0,0,76,58444
2016/09/06,155 PEDREGAL,11956022492,MINI PELUCHES DRAGON DE 8,0,0,0,-129
2016/09/06,121 OUTLET PUEBLA,11956014192,LIV ALEXIS CON PELUCA,0,0,1,192.5
2016/09/06,131 FORUM COATZACOALCOS,11956027989,SFP PELUCHE DE LUJO CON SONIDO,0,0,3,2787
2016/09/06,502 PRICE TOYS GUADALAJARA,11956024266,PAW VEHICULO BASICO,0,0,36,12564
2016/09/06,154 ALTABRISA MERIDA,11956024524,STF REPUESTOS DE TELA,0,0,6,774
2016/09/06,120 PUEBLA 5 DE MAYO,11956026426,TMNT FIGURA CON SONIDO 6,0,0,1,439
2016/09/06,130 PLAZA PATRIA,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,8,3272
2016/09/06,501 CENTRO JUGUETERO,11956020259,DWD DRAGONES DE ACCION,0,0,29,10672
2016/09/06,153 TUXTLA,11956026427,VEHICULO BASICO CON FIGURA,0,0,3,1317
2016/09/06,119 LERMA,11956027389,PAW SET CACHORROS METALICOS,0,0,5,5860
2016/09/06,129 CUERNAVACA SAN DIEGO,11956028640,KNS BLD KINETIC BUILD SET DE JUEGO,0,0,1,379
2016/09/06,182 ECATEPEC,11956027345,DGB DIGIOWL INDIVIDUAL,0,0,11,2849
2016/09/06,152 SAN LUIS CARSO,11956027388,TMT ARMAS DE BATALLA CON SONIDO,0,0,0,0
2016/09/06,119 LERMA,11956019741,FIGURA DELUXE DE 7,0,0,11,2233.8
2016/09/06,129 CUERNAVACA SAN DIEGO,11956018010,BGM HEDBANZ NINOS,0,0,0,0
2016/09/06,181 VISTA HERMOSA,11956024271,PAW SET DE JUEGO,0,0,3,4677
2016/09/06,151 VILLA HERMOSA LAS AMERICAS,11956028759,TMT MOV2 ARMAS,0,0,5,2095
2016/09/06,118 TLALNEPANTLA,11956028761,TMT MOV2 FIGURA 6,0,0,8,3120
2016/09/06,128 PLAZA LAS AMERICAS,11956024346,TMNT FIGURA BASICAS 5 TEMPORADA 2014 24PK,0,0,4,956
2016/09/06,180 JUGUETRON ONLINE,11956024271,PAW SET DE JUEGO,0,0,0,0
2016/09/06,151 VILLA HERMOSA LAS AMERICAS,11956020276,DWD MINI DRAGONES,0,0,6,834
2016/09/06,118 TLALNEPANTLA,11956021803,MICRO SET DE ESPIONAJE,0,0,5,716
2016/09/06,127 PREMIUM OUTLET,11956024608,DGB JAULA PARA DIGIBIRD,0,0,11,3971
2016/09/06,117 TOLLIN CENTER,11956026423,TMT FIGURAS 6 LANZA Y ATACA,0,0,8,3048
2016/09/06,127 PREMIUM OUTLET,11956015695,ZOOBLES CREATURAS MAGICAS DOBLE,0,0,1,172
2016/09/06,116 ANGELOPOLIS,11956028579,AGB SET EXPLOSION CD PUERCOS,0,0,0,0
2016/09/06,126 GALERIAS CUERNAVACA,11956026618,PAW CACHORROS DE RES CATE,0,0,18,5382
2016/09/06,116 ANGELOPOLIS,11956019660,TMNT MEGAFIGURAS DE BATALLA 11,0,0,12,8388
2016/09/06,125 LEON,11956028541,PAW PELUCHE 10 NINO,0,0,4,2076
2016/09/06,115 PERINORTE,11956024265,PAW FIGURA CACHORROS TRANSFORMABLES,0,0,16,3344
2016/09/06,124 GALERIAS PACHUCA,11956031728,DOG ZOOMER ZUPPIES,0,0,17,17493
2016/09/06,114 C. C. SANTA FE,11956026125,TMT MUTATIONS MEZCLA Y COMBINA,0,0,7,1673
2016/09/06,113 GALERIAS INSURGENTES,11956026724,MEC 5 MOD SAFARI,0,0,4,1596
2016/09/06,112 GALERIAS COAPÁ,11956028760,TMT MOVIE 2 FIGURAS 11,0,0,1,699
2016/09/06,112 GALERIAS COAPÁ,11956020580,TMT FIGURAS 6 FLINGERZ,0,0,2,818
2016/09/06,110 PLAZA CIBELES IRAPUATO,11956024608,DGB JAULA PARA DIGIBIRD,0,0,11,4279
2016/09/06,109 PABELLON POLANCO,11956026593,PAW CACHORROS HEROES,0,0,6,1254
2016/09/06,108 PLAZA LINDAVISTA,11956027388,TMT ARMAS DE BATALLA CON SONIDO,0,0,5,2645
2016/09/06,108 PLAZA LINDAVISTA,11956019779,FIGURA INDIVIDUAL DE 2,0,0,6,306.8
2016/09/06,107 CENTRAL DE ABASTOS,11956029033,BGM RETO EN FAMILIA,0,0,8,2344
2016/09/06,107 CENTRAL DE ABASTOS,11956021803,MICRO SET DE ESPIONAJE,0,0,8,1193
2016/09/06,106 REAL CENTER GUADALAJARA,11956026208,PAW CACHORROS TRANSFORMABLES JUMBO,0,0,0,0
