28-10-2015@13:36:58 INFO  (Utileria.java:51)     - [Error: No se pudo cargar el archivo general.properties]
02-11-2015@18:01:32 INFO  (WalmartDownload.java:34)     - cesarfer
03-11-2015@11:37:48 INFO  (WalmartDownload.java:43)     - Se ejecuta Walmart download
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Mon Nov 02 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Sun Nov 01 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Sat Oct 31 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Fri Oct 30 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Thu Oct 29 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:118)     - old date: Wed Oct 28 11:37:48 CST 2015
03-11-2015@11:37:48 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@11:37:48 INFO  (WalmartDownload.java:53)     - Comienza descarga de archivo walmart_11-02-2015
03-11-2015@13:22:25 INFO  (WalmartDownload.java:47)     - Se ejecuta Walmart download
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Mon Nov 02 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Sun Nov 01 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Sat Oct 31 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Fri Oct 30 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Thu Oct 29 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:118)     - old date: Wed Oct 28 13:22:25 CST 2015
03-11-2015@13:22:25 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@13:22:25 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-02-2015
03-11-2015@15:39:58 INFO  (WalmartDownload.java:47)     - Se ejecuta Walmart download
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Mon Nov 02 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Sun Nov 01 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Sat Oct 31 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Fri Oct 30 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Thu Oct 29 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:118)     - old date: Wed Oct 28 15:39:58 CST 2015
03-11-2015@15:39:58 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:39:58 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-02-2015
03-11-2015@15:40:10 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_11-02-2015
03-11-2015@15:40:15 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound06/ces4001_444867324_5BE19B08XFD80X46E4X8A60XCFC3BA8DB486.txt
03-11-2015@15:40:19 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
03-11-2015@15:40:22 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:40:22 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-01-2015
03-11-2015@15:40:31 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_11-01-2015
03-11-2015@15:40:31 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444867331&status=D&Extension=txt&filename=/Outbound07/ces4001_444867331_79F8FF96X78FDX44F8X85D7X625BB34780C7&reqname=evolve_webbot_11-01-2015,444867331
03-11-2015@15:40:40 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
03-11-2015@15:40:44 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:40:44 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-31-2015
03-11-2015@15:40:52 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-31-2015
03-11-2015@15:40:57 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound05/ces4001_444867342_718156CCX837EX4877X8641X267D324E7A67.txt
03-11-2015@15:41:01 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
03-11-2015@15:41:04 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:41:04 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-30-2015
03-11-2015@15:41:13 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-30-2015
03-11-2015@15:41:13 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444867355&status=D&Extension=txt&filename=/Outbound04/ces4001_444867355_C0A35C16XAAFFX4FF4XB5F0X8D685DB83BCA&reqname=evolve_webbot_10-30-2015,444867355
03-11-2015@15:41:21 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
03-11-2015@15:41:24 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:41:24 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-29-2015
03-11-2015@15:41:33 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-29-2015
03-11-2015@15:41:33 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444867362&status=D&Extension=txt&filename=/Outbound07/ces4001_444867362_DBA8FD49X48B3X451BXBA45XAD0CD601D892&reqname=evolve_webbot_10-29-2015,444867362
